filename,kelas,status,alasan,laplacian_var
Fake10 (2).jpeg,FAKE_10,masuk,,213.91423489358695
Fake10.jpeg,FAKE_10,masuk,,144.8421973436967
Fake11.jpeg,FAKE_11,masuk,,72.36927124409478
Fake12 (2).jpeg,FAKE_12,masuk,,97.19395830160485
Fake12.jpeg,FAKE_12,masuk,,101.16852130832348
Fake13.jpeg,FAKE_13,masuk,,122.6778045194854
Fake14.jpeg,FAKE_14,masuk,,80.88253958259982
Fake15 (2).jpeg,FAKE_15,masuk,,120.41915353923581
Fake15.jpeg,FAKE_15,masuk,,94.60487668732395
Fake2 (2).jpeg,FAKE_2,masuk,,60.33578018359274
Fake2.jpeg,FAKE_2,masuk,,173.8405436900771
Fake3 (2).jpeg,FAKE_3,masuk,,177.5078088033069
Fake3.jpeg,FAKE_3,masuk,,65.99398041744764
Fake4 (2).jpeg,FAKE_4,masuk,,114.86016276214835
Fake4.jpeg,FAKE_4,masuk,,137.12025389191376
Fake5.jpeg,FAKE_5,masuk,,152.20301706317036
Fake6 (2).jpeg,FAKE_6,masuk,,78.99211181200495
Fake6.jpeg,FAKE_6,masuk,,55.446670527599814
Fake7.jpeg,FAKE_7,masuk,,52.86538985173176
Fake8 (2).jpeg,FAKE_8,masuk,,74.67978697908823
Fake8.jpeg,FAKE_8,masuk,,197.31723585171844
R1 (2).jpeg,R1,masuk,,100.26176146839163
R1.jpeg,R1,masuk,,84.90730596192607
Real1 (2).jpeg,REAL_1,masuk,,78.5797325158159
Real1.jpeg,REAL_1,masuk,,105.51158642510313
Real10 (2).jpeg,REAL_10,reject,blur,45.06835281789937
Real10 (3).jpeg,REAL_10,masuk,,121.17478593613258
Real10 (4).jpeg,REAL_10,masuk,,159.92610155614983
Real10.jpeg,REAL_10,masuk,,86.50416458159725
Real11 (2).jpeg,REAL_11,reject,blur,44.524017744159856
Real11 (3).jpeg,REAL_11,reject,blur,24.557711030988514
Real11 (4).jpeg,REAL_11,masuk,,83.25712173870423
Real11 (5).jpeg,REAL_11,masuk,,104.89431795299446
Real11.jpeg,REAL_11,masuk,,109.43843874912517
Real12 (2).jpeg,REAL_12,masuk,,135.65778277869768
Real12.jpeg,REAL_12,masuk,,77.38734726393636
Real13 (2).jpeg,REAL_13,masuk,,103.20779769888888
Real13 (3).jpeg,REAL_13,masuk,,114.50353592718504
Real13.jpeg,REAL_13,masuk,,75.31077650826384
Real14.jpeg,REAL_14,masuk,,52.2247348487411
Real15 (2).jpeg,REAL_15,masuk,,57.400342642551
Real15 (3).jpeg,REAL_15,masuk,,68.19507545543593
Real15.jpeg,REAL_15,masuk,,122.65669018123269
Real2 (2).jpeg,REAL_2,masuk,,61.03150247343318
Real2 (3).jpeg,REAL_2,masuk,,173.28901040515518
Real2.jpeg,REAL_2,masuk,,79.45565397984376
Real3 (2).jpeg,REAL_3,masuk,,99.51576244604061
Real3.jpeg,REAL_3,masuk,,60.524784610432974
Real4 (2).jpeg,REAL_4,masuk,,111.50073327742075
Real4 (3).jpeg,REAL_4,masuk,,153.78400686064995
Real4.jpeg,REAL_4,masuk,,116.28551937961988
Real5 (2).jpeg,REAL_5,masuk,,52.858672006731794
Real5 (3).jpeg,REAL_5,reject,blur,43.42066825493053
Real5 (4).jpeg,REAL_5,masuk,,79.01747916301653
Real5 (5).jpeg,REAL_5,masuk,,98.30702024763431
Real5.jpeg,REAL_5,masuk,,126.64038313216048
Real6 (2).jpeg,REAL_6,masuk,,51.66288628472224
Real6 (3).jpeg,REAL_6,masuk,,70.09561912348933
Real6 (4).jpeg,REAL_6,masuk,,108.35808792672503
Real6.jpeg,REAL_6,reject,blur,41.728471814565964
Real7 (2).jpeg,REAL_7,masuk,,90.49601953566732
Real7 (3).jpeg,REAL_7,masuk,,73.72937799283747
Real7 (4).jpeg,REAL_7,masuk,,82.65000907688561
Real7.jpeg,REAL_7,reject,blur,43.97795783462567
Real8 (2).jpeg,REAL_8,masuk,,155.80542549929567
Real8 (3).jpeg,REAL_8,masuk,,127.01489616493063
Real8 (4).jpeg,REAL_8,masuk,,102.54090557779709
Real8.jpeg,REAL_8,reject,blur,43.88266099087862
Real9 (2).jpeg,REAL_9,reject,blur,43.20070320805551
Real9.jpeg,REAL_9,masuk,,56.37078487286214
